"id","EVENT_UNIQUE_ID","OCC_DATE","OCC_YEAR","OCC_MONTH","OCC_DOW","OCC_DOY","OCC_DAY","OCC_HOUR","OCC_TIME_RANGE","DIVISION","DEATH","INJURIES","HOOD_158","NEIGHBOURHOOD_158","HOOD_140","NEIGHBOURHOOD_140","geometry"
24,"EVT-000024",2020-11-12,"2020","November","Thursday",317,12,7,"Morning","D23",0,1,19,"East York",109,"Etobicoke","c(-79.3087984549811, 43.7044589844927)"
25,"EVT-000025",2022-04-01,"2022","April","Friday",91,1,14,"Afternoon","D35",0,4,105,"Scarborough",125,"Downtown","c(-79.4935873574462, 43.7146452573979)"
26,"EVT-000026",2013-06-20,"2013","June","Thursday",171,20,12,"Morning","D38",0,0,55,"North York",131,"North York","c(-79.3632902382718, 43.5991550487315)"
27,"EVT-000027",2004-10-08,"2004","October","Friday",282,8,4,"Night","D33",0,2,33,"East York",86,"Downtown","c(-79.1862840360735, 43.7692654674146)"
28,"EVT-000028",2008-11-16,"2008","November","Sunday",321,16,15,"Afternoon","D23",0,1,125,"Scarborough",75,"Etobicoke","c(-79.5886218676739, 43.6127347649407)"
29,"EVT-000029",2016-06-28,"2016","June","Tuesday",180,28,22,"Evening","D41",0,1,66,"Downtown",9,"North York","c(-79.4422935596867, 43.8447087461116)"
30,"EVT-000030",2020-09-17,"2020","September","Thursday",261,17,14,"Afternoon","D49",0,2,51,"Downtown",137,"Downtown","c(-79.4423428530935, 43.8436693957772)"
31,"EVT-000031",2004-12-28,"2004","December","Tuesday",363,28,11,"Morning","D30",0,1,93,"North York",34,"Scarborough","c(-79.3720210897168, 43.6848342460286)"
32,"EVT-000032",2017-05-01,"2017","May","Monday",121,1,0,"Night","D43",0,1,11,"Etobicoke",7,"Etobicoke","c(-79.5684635443986, 43.7646482264418)"
33,"EVT-000033",2006-06-07,"2006","June","Wednesday",158,7,8,"Morning","D06",0,3,95,"Downtown",4,"Scarborough","c(-79.3520682009848, 43.6161143018406)"
34,"EVT-000034",2023-11-28,"2023","November","Tuesday",332,28,20,"Evening","D11",0,3,81,"East York",24,"North York","c(-79.5672380345352, 43.8239311830089)"
35,"EVT-000035",2023-04-01,"2023","April","Saturday",91,1,18,"Afternoon","D47",0,1,83,"Scarborough",74,"East York","c(-79.5737313455747, 43.8063291609261)"
36,"EVT-000036",2019-05-11,"2019","May","Saturday",131,11,19,"Evening","D46",0,0,77,"North York",87,"Scarborough","c(-79.5220562117642, 43.8464386042276)"
37,"EVT-000037",2005-03-22,"2005","March","Tuesday",81,22,18,"Afternoon","D03",0,2,56,"North York",69,"Downtown","c(-79.1449898636723, 43.6342775310127)"
38,"EVT-000038",2013-11-30,"2013","November","Saturday",334,30,12,"Morning","D29",0,3,113,"Etobicoke",7,"East York","c(-79.3336708129715, 43.6880163718043)"
39,"EVT-000039",2007-06-22,"2007","June","Friday",173,22,12,"Morning","D11",0,2,144,"East York",80,"East York","c(-79.3259435477337, 43.6622816488981)"
40,"EVT-000040",2022-06-19,"2022","June","Sunday",170,19,13,"Afternoon","D33",0,3,124,"Scarborough",59,"Scarborough","c(-79.2412822042102, 43.6651195190124)"
41,"EVT-000041",2013-11-18,"2013","November","Monday",322,18,8,"Morning","D50",0,1,5,"Scarborough",95,"North York","c(-79.5049548929377, 43.8549759494249)"
42,"EVT-000042",2006-09-02,"2006","September","Saturday",245,2,3,"Night","D37",0,3,68,"East York",17,"Etobicoke","c(-79.1640153279535, 43.6456135005005)"
43,"EVT-000043",2023-09-02,"2023","September","Saturday",245,2,21,"Evening","D50",0,1,78,"Downtown",16,"East York","c(-79.2119018026302, 43.8419414272342)"
44,"EVT-000044",2004-09-05,"2004","September","Sunday",249,5,10,"Morning","D23",0,2,77,"Scarborough",80,"East York","c(-79.1322020770613, 43.7267764332159)"
45,"EVT-000045",2006-02-09,"2006","February","Thursday",40,9,14,"Afternoon","D50",0,0,10,"East York",121,"East York","c(-79.3934823512742, 43.8220315893436)"
46,"EVT-000046",2020-10-29,"2020","October","Thursday",303,29,21,"Evening","D37",0,3,82,"North York",60,"North York","c(-79.4120926803928, 43.6024733252851)"
47,"EVT-000047",2010-03-19,"2010","March","Friday",78,19,21,"Evening","D41",0,2,112,"East York",25,"North York","c(-79.599658047978, 43.6542079129629)"
48,"EVT-000048",2007-01-13,"2007","January","Saturday",13,13,21,"Evening","D39",1,1,78,"Etobicoke",14,"North York","c(-79.2833023322888, 43.6859273470365)"
49,"EVT-000049",2008-03-28,"2008","March","Friday",88,28,12,"Morning","D54",0,1,97,"Downtown",116,"North York","c(-79.5227784551501, 43.6439377457237)"
50,"EVT-000050",2020-05-09,"2020","May","Saturday",130,9,11,"Morning","D33",0,0,156,"Etobicoke",113,"North York","c(-79.4199198201489, 43.7275778624998)"
51,"EVT-000051",2010-01-04,"2010","January","Monday",4,4,6,"Night","D36",0,3,74,"East York",118,"East York","c(-79.2484273214296, 43.6896106853826)"
52,"EVT-000052",2010-11-11,"2010","November","Thursday",315,11,9,"Morning","D32",0,1,105,"Etobicoke",103,"North York","c(-79.1732213940594, 43.8498756674971)"
53,"EVT-000053",2022-03-02,"2022","March","Wednesday",61,2,0,"Night","D45",0,1,28,"East York",88,"Scarborough","c(-79.5697953859123, 43.593780258148)"
54,"EVT-000054",2017-06-21,"2017","June","Wednesday",172,21,20,"Evening","D23",0,0,86,"Scarborough",97,"Etobicoke","c(-79.5977776375275, 43.622545592921)"
55,"EVT-000055",2010-06-20,"2010","June","Sunday",171,20,12,"Morning","D27",0,0,67,"Scarborough",119,"Downtown","c(-79.5670601455813, 43.8504982475687)"
56,"EVT-000056",2020-01-08,"2020","January","Wednesday",8,8,7,"Morning","D01",0,3,94,"Downtown",68,"Etobicoke","c(-79.2620742766106, 43.7691870903835)"
57,"EVT-000057",2014-09-26,"2014","September","Friday",269,26,4,"Night","D42",0,3,109,"Etobicoke",109,"Scarborough","c(-79.5518263005611, 43.7869831343573)"
58,"EVT-000058",2024-01-27,"2024","January","Saturday",27,27,2,"Night","D39",0,2,66,"North York",110,"North York","c(-79.4153694828792, 43.6405299633613)"
59,"EVT-000059",2019-10-31,"2019","October","Thursday",304,31,14,"Afternoon","D32",0,1,151,"Downtown",110,"Etobicoke","c(-79.4467381913394, 43.5980344875814)"
60,"EVT-000060",2005-03-19,"2005","March","Saturday",78,19,20,"Evening","D02",0,0,136,"East York",132,"East York","c(-79.1713728501299, 43.7440414013024)"
61,"EVT-000061",2006-12-22,"2006","December","Friday",356,22,8,"Morning","D19",0,1,158,"North York",20,"Etobicoke","c(-79.5996660883773, 43.7780020538287)"
62,"EVT-000062",2017-02-18,"2017","February","Saturday",49,18,2,"Night","D15",0,1,44,"Downtown",28,"Scarborough","c(-79.2554698662395, 43.6374826901445)"
63,"EVT-000063",2018-06-28,"2018","June","Thursday",179,28,21,"Evening","D13",0,3,118,"Etobicoke",65,"North York","c(-79.3618895867279, 43.6573205062713)"
64,"EVT-000064",2006-04-24,"2006","April","Monday",114,24,10,"Morning","D52",0,2,7,"East York",70,"Etobicoke","c(-79.5892080552921, 43.8331020824445)"
65,"EVT-000065",2012-07-14,"2012","July","Saturday",196,14,22,"Evening","D10",0,5,51,"North York",108,"Downtown","c(-79.5914111451317, 43.6048384773936)"
66,"EVT-000066",2007-09-09,"2007","September","Sunday",252,9,8,"Morning","D10",0,0,93,"East York",14,"East York","c(-79.1236689474335, 43.8076822093263)"
67,"EVT-000067",2016-03-16,"2016","March","Wednesday",76,16,8,"Morning","D06",0,1,102,"East York",138,"East York","c(-79.4798327403395, 43.754223069172)"
68,"EVT-000068",2004-11-17,"2004","November","Wednesday",322,17,1,"Night","D33",0,2,43,"North York",26,"East York","c(-79.3414132785231, 43.7718651622653)"
69,"EVT-000069",2013-01-17,"2013","January","Thursday",17,17,20,"Evening","D23",0,3,63,"North York",80,"Etobicoke","c(-79.5132357219998, 43.8352488915646)"
70,"EVT-000070",2021-01-04,"2021","January","Monday",4,4,15,"Afternoon","D51",0,3,24,"East York",129,"Etobicoke","c(-79.2118757534636, 43.7631394809544)"
71,"EVT-000071",2024-01-05,"2024","January","Friday",5,5,17,"Afternoon","D45",0,4,121,"East York",52,"Scarborough","c(-79.3347341187716, 43.8510857286422)"
72,"EVT-000072",2010-10-28,"2010","October","Thursday",301,28,21,"Evening","D27",0,1,23,"Downtown",51,"East York","c(-79.441518890781, 43.6413063518414)"
73,"EVT-000073",2021-01-27,"2021","January","Wednesday",27,27,20,"Evening","D20",0,2,5,"East York",62,"East York","c(-79.4905852211054, 43.8467159259042)"
74,"EVT-000074",2024-02-03,"2024","February","Saturday",34,3,21,"Evening","D26",0,2,147,"Downtown",92,"Etobicoke","c(-79.3209262028364, 43.6345733605512)"
75,"EVT-000075",2022-09-09,"2022","September","Friday",252,9,8,"Morning","D31",0,1,109,"Downtown",136,"Downtown","c(-79.5458446600741, 43.6545488711353)"
76,"EVT-000076",2024-01-10,"2024","January","Wednesday",10,10,23,"Evening","D29",0,0,101,"North York",107,"East York","c(-79.4874871535147, 43.7143996488724)"
77,"EVT-000077",2015-06-16,"2015","June","Tuesday",167,16,21,"Evening","D02",0,2,1,"North York",73,"North York","c(-79.3998002592487, 43.7879329498773)"
78,"EVT-000078",2004-12-30,"2004","December","Thursday",365,30,14,"Afternoon","D03",0,2,71,"North York",34,"Scarborough","c(-79.4543467867058, 43.5979192546761)"
79,"EVT-000079",2013-01-29,"2013","January","Tuesday",29,29,15,"Afternoon","D23",0,1,152,"Scarborough",42,"Etobicoke","c(-79.1636182649277, 43.6212534108654)"
80,"EVT-000080",2015-11-05,"2015","November","Thursday",309,5,23,"Evening","D32",0,0,6,"Scarborough",119,"Downtown","c(-79.1542698273785, 43.8369896238618)"
81,"EVT-000081",2009-08-01,"2009","August","Saturday",213,1,2,"Night","D09",0,2,66,"Etobicoke",110,"East York","c(-79.580284033695, 43.5861228895294)"
82,"EVT-000082",2006-01-03,"2006","January","Tuesday",3,3,2,"Night","D13",0,1,62,"East York",93,"North York","c(-79.2322460680299, 43.8347961267116)"
83,"EVT-000083",2016-08-23,"2016","August","Tuesday",236,23,1,"Night","D14",0,0,75,"North York",23,"Scarborough","c(-79.1696548748411, 43.7109550017552)"
84,"EVT-000084",2022-06-08,"2022","June","Wednesday",159,8,1,"Night","D36",0,0,34,"Scarborough",31,"Downtown","c(-79.5091706418321, 43.7115025108457)"
85,"EVT-000085",2024-06-16,"2024","June","Sunday",168,16,20,"Evening","D15",0,2,27,"Downtown",79,"Etobicoke","c(-79.340221806046, 43.8178139625933)"
86,"EVT-000086",2023-11-10,"2023","November","Friday",314,10,9,"Morning","D38",0,1,114,"Etobicoke",84,"Etobicoke","c(-79.4319595911605, 43.6427102466613)"
87,"EVT-000087",2005-08-05,"2005","August","Friday",217,5,10,"Morning","D45",0,1,83,"Scarborough",73,"Downtown","c(-79.5877846190287, 43.8205742542855)"
88,"EVT-000088",2008-10-24,"2008","October","Friday",298,24,1,"Night","D46",0,3,76,"North York",113,"North York","c(-79.2039595750276, 43.8286285179585)"
89,"EVT-000089",2024-02-16,"2024","February","Friday",47,16,4,"Night","D50",0,2,63,"East York",4,"North York","c(-79.2076563790005, 43.6251791234979)"
90,"EVT-000090",2014-03-19,"2014","March","Wednesday",78,19,10,"Morning","D04",0,3,29,"Etobicoke",116,"Downtown","c(-79.561329782624, 43.69839911405)"
91,"EVT-000091",2013-12-27,"2013","December","Friday",361,27,11,"Morning","D29",0,2,125,"North York",100,"Etobicoke","c(-79.4858177811351, 43.8319298823351)"
92,"EVT-000092",2009-12-01,"2009","December","Tuesday",335,1,21,"Evening","D24",0,2,50,"Scarborough",112,"East York","c(-79.2224931793612, 43.8498495630737)"
93,"EVT-000093",2015-01-25,"2015","January","Sunday",25,25,22,"Evening","D12",0,3,148,"North York",130,"East York","c(-79.1305973368181, 43.7336187110959)"
94,"EVT-000094",2005-07-18,"2005","July","Monday",199,18,12,"Morning","D30",0,0,42,"East York",28,"East York","c(-79.6182495816218, 43.6210181336584)"
95,"EVT-000095",2004-02-24,"2004","February","Tuesday",55,24,4,"Night","D18",0,2,116,"Downtown",127,"Downtown","c(-79.2495241960943, 43.7024643533409)"
96,"EVT-000096",2015-09-28,"2015","September","Monday",271,28,14,"Afternoon","D06",0,2,58,"North York",44,"Downtown","c(-79.4522981726347, 43.7684813418817)"
97,"EVT-000097",2024-01-24,"2024","January","Wednesday",24,24,14,"Afternoon","D25",0,1,38,"Scarborough",41,"North York","c(-79.5802227745004, 43.61668058572)"
98,"EVT-000098",2014-05-10,"2014","May","Saturday",130,10,21,"Evening","D16",0,4,99,"North York",39,"Downtown","c(-79.5080041785788, 43.8208357121991)"
99,"EVT-000099",2008-04-27,"2008","April","Sunday",118,27,1,"Night","D15",0,2,8,"Etobicoke",105,"Etobicoke","c(-79.43478850041, 43.6913024802553)"
100,"EVT-000100",2004-02-06,"2004","February","Friday",37,6,20,"Evening","D33",0,2,39,"North York",58,"East York","c(-79.2014280762618, 43.639467280416)"
101,"EVT-000101",2014-12-09,"2014","December","Tuesday",343,9,11,"Morning","D23",0,2,148,"North York",14,"North York","c(-79.5652567579111, 43.7432995688301)"
102,"EVT-000102",2009-05-20,"2009","May","Wednesday",140,20,10,"Morning","D08",0,4,53,"Scarborough",68,"Downtown","c(-79.3111173279084, 43.7030207526118)"
103,"EVT-000103",2011-12-29,"2011","December","Thursday",363,29,3,"Night","D23",0,1,58,"East York",139,"Etobicoke","c(-79.314243440626, 43.7590907481471)"
104,"EVT-000104",2022-09-04,"2022","September","Sunday",247,4,12,"Morning","D38",0,2,82,"Downtown",88,"Scarborough","c(-79.3282436188614, 43.8461871101446)"
105,"EVT-000105",2009-09-08,"2009","September","Tuesday",251,8,17,"Afternoon","D14",0,0,67,"Scarborough",14,"North York","c(-79.4203449111516, 43.7668880990146)"
106,"EVT-000106",2004-01-09,"2004","January","Friday",9,9,11,"Morning","D46",1,3,62,"East York",72,"North York","c(-79.3061265172411, 43.8266205966095)"
107,"EVT-000107",2004-04-25,"2004","April","Sunday",116,25,19,"Evening","D05",0,4,79,"North York",5,"North York","c(-79.4153330987496, 43.6163181845736)"
108,"EVT-000108",2013-07-29,"2013","July","Monday",210,29,8,"Morning","D38",0,0,62,"East York",57,"Downtown","c(-79.5782833311841, 43.8477060388565)"
109,"EVT-000109",2005-12-14,"2005","December","Wednesday",348,14,13,"Afternoon","D29",0,4,130,"Downtown",75,"Downtown","c(-79.4651203452256, 43.6166099196112)"
110,"EVT-000110",2021-03-13,"2021","March","Saturday",72,13,3,"Night","D47",0,1,22,"Etobicoke",122,"Downtown","c(-79.5018112838831, 43.581912898696)"
111,"EVT-000111",2022-05-13,"2022","May","Friday",133,13,19,"Evening","D34",0,7,90,"Downtown",79,"Etobicoke","c(-79.1614658851281, 43.6147997850521)"
112,"EVT-000112",2012-05-29,"2012","May","Tuesday",150,29,16,"Afternoon","D04",0,1,38,"Etobicoke",15,"Scarborough","c(-79.459891063528, 43.7799728811264)"
113,"EVT-000113",2010-02-12,"2010","February","Friday",43,12,8,"Morning","D17",0,3,37,"Scarborough",28,"East York","c(-79.5014386058722, 43.6064803592609)"
114,"EVT-000114",2005-11-03,"2005","November","Thursday",307,3,12,"Morning","D43",0,2,40,"North York",12,"Etobicoke","c(-79.5824208415991, 43.643365721442)"
115,"EVT-000115",2023-04-09,"2023","April","Sunday",99,9,0,"Night","D39",0,3,61,"Etobicoke",85,"Etobicoke","c(-79.3084432315879, 43.8146517301705)"
116,"EVT-000116",2022-09-30,"2022","September","Friday",273,30,8,"Morning","D41",0,2,124,"Scarborough",17,"North York","c(-79.5496362156006, 43.6677710533053)"
117,"EVT-000117",2012-12-31,"2012","December","Monday",366,31,6,"Night","D44",0,4,93,"Downtown",93,"Etobicoke","c(-79.1738703687975, 43.6156265915779)"
118,"EVT-000118",2012-02-23,"2012","February","Thursday",54,23,16,"Afternoon","D05",0,4,100,"East York",29,"Downtown","c(-79.5852365246015, 43.7681089836769)"
119,"EVT-000119",2006-03-01,"2006","March","Wednesday",60,1,8,"Morning","D17",0,3,89,"Scarborough",113,"Etobicoke","c(-79.1824375770444, 43.6490465953216)"
120,"EVT-000120",2004-09-12,"2004","September","Sunday",256,12,19,"Evening","D19",0,2,94,"Etobicoke",114,"Etobicoke","c(-79.6208326238413, 43.7285132606978)"
121,"EVT-000121",2024-03-12,"2024","March","Tuesday",72,12,21,"Evening","D36",0,0,21,"Downtown",14,"East York","c(-79.5425926865548, 43.6764288875336)"
122,"EVT-000122",2005-03-14,"2005","March","Monday",73,14,1,"Night","D30",0,1,39,"Scarborough",130,"Scarborough","c(-79.1854700686444, 43.7849792417036)"
123,"EVT-000123",2009-04-15,"2009","April","Wednesday",105,15,21,"Evening","D35",0,4,56,"Downtown",120,"Scarborough","c(-79.1762156050635, 43.6852894706616)"
124,"EVT-000124",2010-02-15,"2010","February","Monday",46,15,21,"Evening","D52",0,3,77,"Etobicoke",73,"Downtown","c(-79.3900402733054, 43.7763338066164)"
125,"EVT-000125",2011-05-25,"2011","May","Wednesday",145,25,19,"Evening","D25",0,4,128,"Scarborough",65,"Scarborough","c(-79.2075725026935, 43.8016998979474)"
126,"EVT-000126",2018-04-12,"2018","April","Thursday",102,12,0,"Night","D52",0,2,11,"Etobicoke",43,"North York","c(-79.3811683209717, 43.6047180780623)"
127,"EVT-000127",2010-12-11,"2010","December","Saturday",345,11,0,"Night","D42",0,0,157,"Downtown",123,"North York","c(-79.5060479033941, 43.8532260490952)"
128,"EVT-000128",2019-10-24,"2019","October","Thursday",297,24,1,"Night","D54",0,1,4,"Scarborough",16,"North York","c(-79.4189818438675, 43.6937823829092)"
129,"EVT-000129",2023-05-10,"2023","May","Wednesday",130,10,14,"Afternoon","D32",0,1,95,"Downtown",63,"Scarborough","c(-79.3713164352288, 43.7467657063905)"
130,"EVT-000130",2021-03-03,"2021","March","Wednesday",62,3,23,"Evening","D50",0,1,51,"East York",119,"North York","c(-79.3878703116624, 43.7415594121704)"
131,"EVT-000131",2024-01-05,"2024","January","Friday",5,5,4,"Night","D20",0,2,86,"Etobicoke",139,"Scarborough","c(-79.2377360239606, 43.7269445147498)"
132,"EVT-000132",2021-10-23,"2021","October","Saturday",296,23,13,"Afternoon","D26",0,1,101,"Downtown",46,"North York","c(-79.3437183281181, 43.7303459914863)"
133,"EVT-000133",2017-08-12,"2017","August","Saturday",224,12,16,"Afternoon","D34",0,2,38,"Etobicoke",21,"North York","c(-79.5888681733042, 43.7265430381708)"
134,"EVT-000134",2021-01-17,"2021","January","Sunday",17,17,20,"Evening","D07",0,1,127,"North York",44,"North York","c(-79.3891369953517, 43.6960864081349)"
135,"EVT-000135",2023-12-07,"2023","December","Thursday",341,7,20,"Evening","D13",0,0,15,"Etobicoke",35,"Downtown","c(-79.4822546082214, 43.6033335385244)"
136,"EVT-000136",2019-06-19,"2019","June","Wednesday",170,19,12,"Morning","D41",0,0,47,"Scarborough",51,"North York","c(-79.2392629361065, 43.8553920800338)"
137,"EVT-000137",2004-12-28,"2004","December","Tuesday",363,28,21,"Evening","D47",0,5,33,"Etobicoke",29,"Scarborough","c(-79.3434409441339, 43.7395872996232)"
138,"EVT-000138",2022-12-09,"2022","December","Friday",343,9,10,"Morning","D39",0,2,30,"Etobicoke",65,"Etobicoke","c(-79.3429619844628, 43.7646524268063)"
139,"EVT-000139",2008-06-25,"2008","June","Wednesday",177,25,21,"Evening","D20",0,1,112,"Downtown",24,"North York","c(-79.188435616151, 43.7912664967954)"
140,"EVT-000140",2012-05-01,"2012","May","Tuesday",122,1,0,"Night","D41",0,1,21,"North York",11,"North York","c(-79.2242039395152, 43.721022255709)"
141,"EVT-000141",2011-07-28,"2011","July","Thursday",209,28,7,"Morning","D24",0,1,92,"Downtown",76,"North York","c(-79.4224821223831, 43.6759594930833)"
142,"EVT-000142",2017-07-21,"2017","July","Friday",202,21,23,"Evening","D28",0,1,147,"Downtown",91,"Etobicoke","c(-79.3975726968201, 43.8062671839399)"
143,"EVT-000143",2004-03-19,"2004","March","Friday",79,19,10,"Morning","D45",0,0,92,"East York",92,"Scarborough","c(-79.3263295745954, 43.6831188422902)"
144,"EVT-000144",2021-05-13,"2021","May","Thursday",133,13,16,"Afternoon","D22",0,0,154,"North York",98,"North York","c(-79.3677253833359, 43.8508537202381)"
145,"EVT-000145",2020-01-17,"2020","January","Friday",17,17,23,"Evening","D09",0,1,21,"Downtown",72,"East York","c(-79.4558622783344, 43.6274518184578)"
146,"EVT-000146",2011-10-22,"2011","October","Saturday",295,22,15,"Afternoon","D19",0,0,157,"Downtown",125,"Etobicoke","c(-79.6176966988079, 43.7280464704799)"
147,"EVT-000147",2021-01-07,"2021","January","Thursday",7,7,21,"Evening","D01",0,2,108,"North York",119,"Scarborough","c(-79.1676834577255, 43.6960037768172)"
148,"EVT-000148",2021-04-08,"2021","April","Thursday",98,8,8,"Morning","D49",0,2,91,"East York",21,"East York","c(-79.531868569953, 43.8221468577711)"
149,"EVT-000149",2016-11-21,"2016","November","Monday",326,21,12,"Morning","D10",0,5,28,"North York",2,"Etobicoke","c(-79.1237226504408, 43.7355942151124)"
150,"EVT-000150",2004-11-10,"2004","November","Wednesday",315,10,22,"Evening","D23",0,2,30,"Etobicoke",46,"Etobicoke","c(-79.4972819431178, 43.8334501609519)"
151,"EVT-000151",2009-04-22,"2009","April","Wednesday",112,22,5,"Night","D34",0,1,134,"Downtown",53,"East York","c(-79.426326359462, 43.8309483756417)"
152,"EVT-000152",2007-05-15,"2007","May","Tuesday",135,15,21,"Evening","D49",0,2,41,"Scarborough",92,"Downtown","c(-79.3832440631956, 43.8328837990643)"
153,"EVT-000153",2004-11-04,"2004","November","Thursday",309,4,18,"Afternoon","D38",0,3,58,"Downtown",103,"Etobicoke","c(-79.2112438531255, 43.7435807976857)"
154,"EVT-000154",2012-01-03,"2012","January","Tuesday",3,3,21,"Evening","D41",0,1,105,"East York",35,"Etobicoke","c(-79.6297415150622, 43.5890258701164)"
155,"EVT-000155",2005-03-18,"2005","March","Friday",77,18,12,"Morning","D20",0,2,111,"East York",117,"Scarborough","c(-79.2988695965698, 43.6514249362359)"
156,"EVT-000156",2021-12-20,"2021","December","Monday",354,20,18,"Afternoon","D52",0,1,85,"East York",122,"East York","c(-79.5549922012441, 43.8240075501006)"
157,"EVT-000157",2015-09-04,"2015","September","Friday",247,4,2,"Night","D12",0,0,119,"Etobicoke",67,"Etobicoke","c(-79.1425593484538, 43.6634651856152)"
158,"EVT-000158",2007-10-09,"2007","October","Tuesday",282,9,10,"Morning","D36",0,0,13,"East York",85,"North York","c(-79.5591841867782, 43.7783717083903)"
159,"EVT-000159",2020-04-24,"2020","April","Friday",115,24,0,"Night","D30",0,1,52,"Scarborough",74,"Etobicoke","c(-79.3192791265857, 43.7857488567008)"
160,"EVT-000160",2023-09-07,"2023","September","Thursday",250,7,14,"Afternoon","D22",0,0,116,"East York",20,"Downtown","c(-79.1411971665198, 43.7247411354188)"
161,"EVT-000161",2019-06-19,"2019","June","Wednesday",170,19,13,"Afternoon","D45",0,1,158,"East York",123,"Downtown","c(-79.1444941898715, 43.6767193517605)"
162,"EVT-000162",2022-09-26,"2022","September","Monday",269,26,7,"Morning","D29",0,1,99,"Scarborough",42,"Scarborough","c(-79.2153174851498, 43.6681607989553)"
163,"EVT-000163",2010-03-27,"2010","March","Saturday",86,27,22,"Evening","D31",0,1,50,"North York",18,"Scarborough","c(-79.5661702928625, 43.837922486316)"
