"","dates","event_type","neighbourhood","injuries","deaths"
"49",2018-09-16,"firearm_discharge","Downtown",0,0
"50",2021-08-01,"firearm_discharge","Scarborough",0,0
"51",2022-09-04,"firearm_discharge","Scarborough",0,0
"52",2022-10-24,"shooting_event","Etobicoke",0,0
"53",2022-06-14,"firearm_discharge","Etobicoke",0,0
"54",2018-12-06,"firearm_discharge","East York",0,0
"55",2022-03-09,"firearm_discharge","Scarborough",0,0
"56",2023-12-25,"shooting_event","Etobicoke",0,0
"57",2020-06-03,"shooting_event","Scarborough",0,0
"58",2018-05-27,"shooting_event","Downtown",4,0
"59",2022-04-10,"firearm_discharge","North York",0,0
"60",2022-02-08,"shooting_event","Scarborough",1,0
"61",2021-07-30,"firearm_discharge","Downtown",0,0
"62",2023-04-16,"firearm_discharge","North York",0,0
"63",2020-04-01,"shooting_event","Downtown",1,1
"64",2020-10-08,"firearm_discharge","North York",0,0
"65",2019-03-21,"shooting_event","Downtown",0,0
"66",2019-02-19,"shooting_event","East York",0,0
"67",2021-01-30,"firearm_discharge","Etobicoke",0,0
"68",2018-12-23,"shooting_event","East York",0,1
"69",2023-01-20,"shooting_event","North York",2,0
"70",2019-10-25,"shooting_event","Scarborough",0,0
"71",2019-04-11,"firearm_discharge","Downtown",0,0
"72",2022-08-19,"firearm_discharge","Scarborough",0,0
"73",2020-02-11,"shooting_event","North York",2,0
"74",2020-07-18,"firearm_discharge","Etobicoke",0,0
"75",2021-06-10,"firearm_discharge","Downtown",0,0
"76",2019-03-02,"firearm_discharge","North York",0,0
"77",2018-11-25,"shooting_event","North York",0,0
"78",2020-08-02,"shooting_event","Scarborough",3,0
"79",2022-08-30,"firearm_discharge","East York",0,0
"80",2021-02-02,"shooting_event","North York",1,0
"81",2019-06-08,"firearm_discharge","Downtown",0,0
"82",2022-05-14,"shooting_event","North York",0,0
"83",2023-09-22,"shooting_event","Scarborough",3,0
"84",2019-10-31,"firearm_discharge","Scarborough",0,0
"85",2018-07-05,"shooting_event","Etobicoke",2,0
"86",2020-12-12,"firearm_discharge","East York",0,0
"87",2021-12-30,"shooting_event","Etobicoke",0,0
"88",2020-09-10,"firearm_discharge","East York",0,0
"89",2021-11-15,"shooting_event","East York",0,0
"90",2021-03-02,"shooting_event","Scarborough",0,0
"91",2021-02-16,"shooting_event","Etobicoke",1,0
"92",2020-05-31,"firearm_discharge","East York",0,0
"93",2023-12-04,"firearm_discharge","East York",0,0
"94",2022-10-19,"firearm_discharge","East York",0,0
"95",2020-02-23,"firearm_discharge","Etobicoke",0,0
"96",2019-04-02,"shooting_event","Etobicoke",0,0
"97",2022-06-07,"shooting_event","Etobicoke",2,0
"98",2022-07-07,"firearm_discharge","North York",0,0
"99",2020-10-14,"shooting_event","Scarborough",1,0
"100",2022-08-07,"firearm_discharge","East York",0,0
"101",2018-01-08,"firearm_discharge","Scarborough",0,0
"102",2020-05-26,"shooting_event","East York",0,0
"103",2018-11-15,"shooting_event","North York",1,0
"104",2019-12-12,"firearm_discharge","East York",0,0
"105",2018-09-21,"firearm_discharge","Scarborough",0,0
"106",2022-04-04,"firearm_discharge","Scarborough",0,0
"107",2021-12-20,"firearm_discharge","East York",0,0
"108",2019-09-04,"firearm_discharge","East York",0,0
"109",2021-12-03,"shooting_event","North York",1,0
"110",2021-03-20,"shooting_event","Downtown",1,0
"111",2023-02-27,"shooting_event","North York",3,0
"112",2023-07-17,"shooting_event","East York",1,0
"113",2023-05-09,"firearm_discharge","Scarborough",0,0
"114",2023-02-13,"firearm_discharge","East York",0,0
"115",2019-03-18,"firearm_discharge","Downtown",0,0
"116",2023-08-11,"shooting_event","East York",0,0
"117",2021-03-02,"firearm_discharge","North York",0,0
"118",2020-09-20,"shooting_event","North York",2,0
"119",2021-08-23,"shooting_event","Scarborough",0,0
"120",2018-04-27,"firearm_discharge","North York",0,0
"121",2023-04-03,"shooting_event","Etobicoke",1,0
"122",2020-05-03,"shooting_event","Etobicoke",2,0
"123",2020-05-25,"firearm_discharge","Downtown",0,0
"124",2021-02-07,"shooting_event","Etobicoke",3,0
"125",2018-01-15,"firearm_discharge","Scarborough",0,0
"126",2022-09-20,"firearm_discharge","Etobicoke",0,0
"127",2022-01-26,"firearm_discharge","Scarborough",0,0
"128",2020-02-17,"shooting_event","Etobicoke",0,0
"129",2022-06-13,"firearm_discharge","Etobicoke",0,0
"130",2022-05-31,"shooting_event","Downtown",2,0
"131",2018-01-02,"shooting_event","Etobicoke",0,0
"132",2018-01-20,"firearm_discharge","East York",0,0
"133",2022-12-04,"firearm_discharge","Etobicoke",0,0
"134",2018-12-04,"shooting_event","East York",1,0
"135",2022-12-05,"firearm_discharge","Scarborough",0,0
"136",2023-06-04,"firearm_discharge","Etobicoke",0,0
"137",2018-07-25,"firearm_discharge","Scarborough",0,0
"138",2023-11-19,"shooting_event","Etobicoke",0,0
"139",2022-07-02,"firearm_discharge","East York",0,0
"140",2019-11-08,"firearm_discharge","Scarborough",0,0
"141",2022-11-02,"firearm_discharge","Scarborough",0,0
"142",2023-03-22,"shooting_event","East York",2,0
"143",2023-07-10,"firearm_discharge","Etobicoke",0,0
"144",2019-05-01,"shooting_event","East York",0,1
"145",2019-07-02,"firearm_discharge","Downtown",0,0
"146",2023-07-26,"firearm_discharge","Scarborough",0,0
"147",2023-07-20,"shooting_event","Scarborough",3,0
"148",2020-09-29,"firearm_discharge","North York",0,0
"149",2023-09-18,"shooting_event","East York",3,0
"150",2021-06-04,"shooting_event","Scarborough",0,0
"151",2019-09-05,"shooting_event","North York",2,1
"152",2020-03-18,"shooting_event","East York",2,1
"153",2021-09-24,"firearm_discharge","East York",0,0
"154",2019-09-08,"firearm_discharge","Scarborough",0,0
"155",2019-12-19,"shooting_event","North York",2,0
"156",2020-01-13,"firearm_discharge","North York",0,0
"157",2021-05-20,"firearm_discharge","North York",0,0
"158",2021-12-11,"firearm_discharge","North York",0,0
"159",2020-11-11,"shooting_event","Scarborough",0,0
"160",2020-09-19,"shooting_event","Downtown",1,0
"161",2019-12-05,"firearm_discharge","Downtown",0,0
"162",2019-12-05,"firearm_discharge","East York",0,0
"163",2023-04-30,"firearm_discharge","Downtown",0,0
"164",2020-08-17,"shooting_event","East York",0,0
"165",2020-12-22,"shooting_event","Downtown",1,0
"166",2023-05-02,"firearm_discharge","Downtown",0,0
"167",2021-03-05,"shooting_event","Etobicoke",0,0
"168",2022-06-18,"shooting_event","East York",1,0
"169",2022-06-24,"firearm_discharge","North York",0,0
"170",2023-12-22,"firearm_discharge","Downtown",0,0
"171",2021-07-02,"firearm_discharge","Etobicoke",0,0
"172",2021-03-11,"firearm_discharge","East York",0,0
"173",2019-05-13,"shooting_event","East York",2,0
"174",2018-08-05,"firearm_discharge","East York",0,0
"175",2018-03-26,"shooting_event","East York",1,0
"176",2019-07-02,"shooting_event","East York",0,0
"177",2020-10-30,"firearm_discharge","Downtown",0,0
"178",2018-07-29,"shooting_event","Etobicoke",1,0
"179",2021-09-19,"shooting_event","Etobicoke",0,0
"180",2018-03-12,"shooting_event","Etobicoke",1,0
"181",2019-07-18,"firearm_discharge","Scarborough",0,0
"182",2019-09-09,"shooting_event","Scarborough",2,0
"183",2020-01-03,"firearm_discharge","North York",0,0
"184",2020-04-15,"firearm_discharge","North York",0,0
"185",2023-08-14,"firearm_discharge","Scarborough",0,0
"186",2023-11-10,"firearm_discharge","East York",0,0
"187",2023-07-09,"firearm_discharge","Scarborough",0,0
"188",2019-06-23,"shooting_event","North York",3,0
"189",2018-05-11,"shooting_event","Etobicoke",3,0
"190",2023-09-19,"firearm_discharge","Downtown",0,0
"191",2020-12-27,"shooting_event","East York",0,0
"192",2021-03-30,"shooting_event","Downtown",1,0
"193",2018-06-23,"shooting_event","East York",3,0
"194",2022-01-14,"shooting_event","Etobicoke",2,0
"195",2019-05-19,"firearm_discharge","Scarborough",0,0
"196",2023-05-16,"firearm_discharge","Scarborough",0,0
"197",2021-02-17,"shooting_event","Scarborough",0,0
"198",2020-08-27,"firearm_discharge","North York",0,0
"199",2020-01-13,"shooting_event","North York",1,0
"200",2020-04-26,"shooting_event","Downtown",0,0
"201",2021-12-08,"shooting_event","Etobicoke",0,0
"202",2023-09-11,"shooting_event","East York",3,0
"203",2020-08-01,"shooting_event","Downtown",1,0
"204",2018-03-29,"firearm_discharge","East York",0,0
"205",2022-05-15,"firearm_discharge","Downtown",0,0
"206",2020-11-12,"firearm_discharge","Scarborough",0,0
"207",2018-04-08,"firearm_discharge","Downtown",0,0
"208",2022-02-24,"firearm_discharge","Scarborough",0,0
"209",2022-01-14,"shooting_event","Scarborough",0,0
"210",2021-01-13,"firearm_discharge","North York",0,0
"211",2023-04-01,"firearm_discharge","Downtown",0,0
"212",2019-12-09,"shooting_event","Scarborough",0,1
"213",2020-05-25,"firearm_discharge","Downtown",0,0
"214",2020-05-31,"firearm_discharge","North York",0,0
"215",2021-09-05,"firearm_discharge","Downtown",0,0
"216",2023-08-03,"firearm_discharge","Downtown",0,0
"217",2020-01-25,"firearm_discharge","Etobicoke",0,0
"218",2021-07-13,"shooting_event","Etobicoke",1,0
"219",2019-12-29,"shooting_event","Scarborough",2,0
"220",2023-10-09,"firearm_discharge","Downtown",0,0
"221",2020-10-06,"shooting_event","Downtown",3,0
"222",2020-04-28,"firearm_discharge","North York",0,0
"223",2022-10-07,"shooting_event","Etobicoke",0,0
"224",2021-06-23,"firearm_discharge","North York",0,0
"225",2021-01-12,"firearm_discharge","Downtown",0,0
"226",2020-06-03,"shooting_event","Downtown",1,0
"227",2019-07-29,"firearm_discharge","Downtown",0,0
"228",2021-01-07,"shooting_event","East York",1,0
"229",2018-05-10,"shooting_event","Scarborough",1,0
"230",2018-12-03,"shooting_event","East York",0,0
"231",2019-02-04,"firearm_discharge","Scarborough",0,0
"232",2020-03-24,"shooting_event","Etobicoke",1,0
"233",2020-03-12,"shooting_event","Etobicoke",0,0
"234",2018-11-01,"firearm_discharge","Scarborough",0,0
"235",2020-12-06,"shooting_event","Downtown",1,0
"236",2021-04-17,"shooting_event","Scarborough",2,0
"237",2020-01-13,"shooting_event","Etobicoke",1,0
"238",2021-10-31,"firearm_discharge","Etobicoke",0,0
"239",2020-04-24,"firearm_discharge","East York",0,0
"240",2023-03-02,"firearm_discharge","North York",0,0
"241",2019-11-29,"shooting_event","Etobicoke",1,0
"242",2021-11-28,"shooting_event","Downtown",0,0
"243",2020-01-05,"shooting_event","East York",1,0
"244",2023-12-05,"firearm_discharge","Scarborough",0,0
"245",2021-04-09,"firearm_discharge","North York",0,0
"246",2023-10-19,"shooting_event","North York",2,0
"247",2020-05-08,"shooting_event","Scarborough",1,0
"248",2018-04-12,"firearm_discharge","Etobicoke",0,0
"249",2020-06-19,"shooting_event","Downtown",0,0
"250",2020-12-15,"firearm_discharge","North York",0,0
"251",2020-11-05,"firearm_discharge","North York",0,0
"252",2021-10-18,"firearm_discharge","East York",0,0
"253",2022-12-12,"firearm_discharge","Scarborough",0,0
"254",2019-06-04,"firearm_discharge","Scarborough",0,0
"255",2023-06-14,"firearm_discharge","Etobicoke",0,0
"256",2021-12-26,"firearm_discharge","Etobicoke",0,0
"257",2023-05-31,"shooting_event","Scarborough",0,0
"258",2022-02-20,"shooting_event","North York",2,1
"259",2022-07-14,"firearm_discharge","Etobicoke",0,0
"260",2020-09-02,"shooting_event","Etobicoke",0,0
"261",2022-09-27,"shooting_event","Etobicoke",0,0
"262",2023-07-04,"firearm_discharge","Scarborough",0,0
"263",2019-04-04,"firearm_discharge","Scarborough",0,0
"264",2018-09-10,"firearm_discharge","Scarborough",0,0
"265",2019-05-04,"firearm_discharge","Etobicoke",0,0
"266",2023-06-29,"firearm_discharge","Downtown",0,0
"267",2022-03-06,"firearm_discharge","Etobicoke",0,0
"268",2022-11-12,"firearm_discharge","East York",0,0
"269",2019-01-23,"firearm_discharge","Downtown",0,0
"270",2022-04-23,"firearm_discharge","Downtown",0,0
"271",2021-08-18,"shooting_event","North York",3,0
"272",2020-08-15,"shooting_event","Etobicoke",1,0
"273",2020-03-16,"shooting_event","Scarborough",2,0
"274",2021-01-07,"firearm_discharge","North York",0,0
"275",2020-04-17,"firearm_discharge","East York",0,0
"276",2018-01-05,"firearm_discharge","Scarborough",0,0
"277",2021-03-30,"shooting_event","Etobicoke",0,0
"278",2021-01-27,"shooting_event","Scarborough",0,0
"279",2018-07-17,"shooting_event","Etobicoke",3,0
"280",2018-02-06,"shooting_event","North York",1,0
"281",2023-04-04,"shooting_event","Scarborough",3,0
"282",2021-03-29,"firearm_discharge","Etobicoke",0,0
"283",2021-07-16,"firearm_discharge","Etobicoke",0,0
"284",2022-04-11,"shooting_event","East York",1,0
"285",2022-12-09,"shooting_event","East York",1,0
"286",2020-12-05,"firearm_discharge","Etobicoke",0,0
"287",2019-09-04,"firearm_discharge","East York",0,0
"288",2022-03-06,"shooting_event","North York",1,0
"289",2021-02-28,"shooting_event","North York",1,0
"290",2018-08-25,"firearm_discharge","Downtown",0,0
"291",2018-11-05,"firearm_discharge","Scarborough",0,0
"292",2020-10-11,"shooting_event","North York",0,0
"293",2018-12-08,"firearm_discharge","Etobicoke",0,0
"294",2020-02-16,"firearm_discharge","East York",0,0
"295",2023-09-23,"firearm_discharge","Downtown",0,0
"296",2021-08-28,"shooting_event","East York",0,0
"297",2021-09-16,"firearm_discharge","North York",0,0
"298",2022-12-08,"firearm_discharge","Scarborough",0,0
"299",2023-03-08,"shooting_event","Scarborough",0,0
"300",2020-02-18,"shooting_event","Etobicoke",1,0
"301",2019-03-16,"firearm_discharge","Downtown",0,0
"302",2019-07-11,"shooting_event","Etobicoke",4,0
"303",2021-12-27,"shooting_event","East York",1,0
"304",2022-06-11,"shooting_event","Downtown",3,0
"305",2021-11-24,"shooting_event","North York",1,0
"306",2022-06-04,"shooting_event","Scarborough",0,0
"307",2023-11-22,"firearm_discharge","Scarborough",0,0
"308",2019-03-28,"firearm_discharge","North York",0,0
"309",2020-11-08,"firearm_discharge","Etobicoke",0,0
"310",2021-09-24,"firearm_discharge","Scarborough",0,0
"311",2018-12-24,"firearm_discharge","East York",0,0
"312",2022-05-26,"firearm_discharge","East York",0,0
"313",2018-07-25,"shooting_event","Etobicoke",0,0
"314",2022-10-27,"shooting_event","Downtown",0,0
"315",2023-03-29,"firearm_discharge","Etobicoke",0,0
"316",2021-11-24,"shooting_event","Etobicoke",0,1
"317",2019-09-01,"shooting_event","Scarborough",2,0
"318",2021-01-27,"firearm_discharge","Etobicoke",0,0
"319",2021-10-12,"firearm_discharge","East York",0,0
"320",2018-12-01,"firearm_discharge","Etobicoke",0,0
"321",2023-05-01,"shooting_event","East York",0,0
"322",2021-12-06,"firearm_discharge","Scarborough",0,0
"323",2019-05-23,"shooting_event","East York",3,0
"324",2020-09-28,"firearm_discharge","Downtown",0,0
"325",2021-04-22,"shooting_event","Scarborough",0,0
"326",2021-05-20,"shooting_event","East York",1,1
"327",2018-01-02,"firearm_discharge","Scarborough",0,0
"328",2021-04-22,"shooting_event","East York",1,0
"329",2018-12-21,"shooting_event","North York",2,0
"330",2018-08-05,"shooting_event","East York",1,0
"331",2023-04-14,"shooting_event","East York",0,0
"332",2018-10-17,"firearm_discharge","North York",0,0
"333",2021-04-25,"firearm_discharge","North York",0,0
"334",2021-02-01,"firearm_discharge","Etobicoke",0,0
"335",2021-02-24,"firearm_discharge","Etobicoke",0,0
"336",2020-10-16,"firearm_discharge","North York",0,0
"337",2021-11-19,"firearm_discharge","East York",0,0
"338",2019-11-17,"shooting_event","Etobicoke",3,0
"339",2018-09-06,"firearm_discharge","Scarborough",0,0
"340",2023-06-13,"shooting_event","Downtown",1,0
"341",2021-03-25,"firearm_discharge","Downtown",0,0
"342",2020-06-25,"shooting_event","North York",1,0
"343",2021-02-25,"firearm_discharge","Scarborough",0,0
"344",2022-09-16,"shooting_event","Downtown",1,0
"345",2023-11-24,"shooting_event","Scarborough",0,0
"346",2021-03-30,"shooting_event","Scarborough",0,0
"347",2018-01-09,"firearm_discharge","East York",0,0
"348",2019-09-23,"firearm_discharge","East York",0,0
"349",2020-07-26,"firearm_discharge","Etobicoke",0,0
"350",2022-11-07,"shooting_event","Scarborough",0,0
"351",2020-06-04,"firearm_discharge","Etobicoke",0,0
"352",2020-11-26,"shooting_event","East York",1,0
"353",2020-11-16,"shooting_event","Scarborough",1,0
"354",2020-04-18,"firearm_discharge","East York",0,0
"355",2023-05-18,"shooting_event","North York",2,0
"356",2023-09-11,"firearm_discharge","North York",0,0
"357",2023-08-29,"shooting_event","North York",2,0
"358",2018-11-28,"shooting_event","Etobicoke",0,0
"359",2019-05-23,"shooting_event","East York",2,1
"360",2019-12-24,"firearm_discharge","Scarborough",0,0
"361",2021-10-16,"shooting_event","East York",0,0
"362",2019-10-05,"shooting_event","Scarborough",2,0
"363",2021-11-03,"shooting_event","North York",1,0
"364",2023-09-16,"shooting_event","East York",3,0
"365",2022-10-27,"firearm_discharge","Etobicoke",0,0
"366",2018-10-01,"firearm_discharge","Downtown",0,0
"367",2021-02-24,"shooting_event","Downtown",0,0
"368",2023-05-16,"firearm_discharge","North York",0,0
"369",2018-07-06,"shooting_event","Etobicoke",2,0
"370",2021-01-29,"firearm_discharge","Downtown",0,0
"371",2020-05-19,"firearm_discharge","Etobicoke",0,0
"372",2020-04-08,"firearm_discharge","Downtown",0,0
"373",2018-11-15,"firearm_discharge","Scarborough",0,0
"374",2020-02-19,"shooting_event","East York",1,0
"375",2018-06-10,"shooting_event","North York",3,0
"376",2023-06-25,"firearm_discharge","East York",0,0
"377",2019-04-25,"shooting_event","Scarborough",2,0
"378",2020-04-01,"firearm_discharge","North York",0,0
"379",2022-04-14,"shooting_event","Etobicoke",2,0
"380",2020-01-13,"firearm_discharge","Etobicoke",0,0
"381",2023-09-03,"shooting_event","Downtown",1,0
"382",2018-12-06,"shooting_event","East York",1,0
"383",2020-02-29,"firearm_discharge","Scarborough",0,0
"384",2020-01-12,"firearm_discharge","North York",0,0
"385",2022-08-09,"firearm_discharge","East York",0,0
"386",2019-11-30,"firearm_discharge","East York",0,0
"387",2023-02-21,"shooting_event","Downtown",0,0
"388",2021-06-14,"shooting_event","Scarborough",1,0
"389",2022-08-24,"firearm_discharge","Downtown",0,0
"390",2022-01-16,"shooting_event","Downtown",1,0
"391",2019-03-19,"firearm_discharge","East York",0,0
"392",2019-03-26,"firearm_discharge","Scarborough",0,0
"393",2023-02-19,"shooting_event","East York",1,0
"394",2021-04-29,"shooting_event","Downtown",5,0
"395",2020-12-14,"shooting_event","Etobicoke",1,0
"396",2022-07-26,"shooting_event","Scarborough",3,0
"397",2023-08-08,"shooting_event","North York",0,0
"398",2020-06-18,"shooting_event","Etobicoke",0,0
"399",2021-12-26,"firearm_discharge","North York",0,0
"400",2020-10-31,"firearm_discharge","Etobicoke",0,0
"401",2021-02-23,"firearm_discharge","Scarborough",0,0
"402",2019-10-30,"shooting_event","East York",0,0
"403",2018-04-14,"shooting_event","North York",1,0
"404",2018-10-02,"firearm_discharge","Etobicoke",0,0
"405",2018-07-07,"shooting_event","Etobicoke",1,0
"406",2018-11-23,"shooting_event","North York",1,0
"407",2023-04-21,"firearm_discharge","Downtown",0,0
"408",2022-05-06,"shooting_event","Scarborough",1,0
"409",2023-02-03,"shooting_event","Downtown",1,0
"410",2020-10-11,"firearm_discharge","Downtown",0,0
"411",2023-06-25,"firearm_discharge","Downtown",0,0
"412",2019-09-17,"firearm_discharge","Scarborough",0,0
"413",2023-10-23,"firearm_discharge","North York",0,0
"414",2022-05-01,"firearm_discharge","East York",0,0
"415",2023-10-03,"firearm_discharge","Etobicoke",0,0
"416",2023-08-25,"shooting_event","North York",3,0
"417",2018-07-13,"firearm_discharge","Scarborough",0,0
"418",2018-04-11,"shooting_event","Downtown",2,0
"419",2021-01-14,"firearm_discharge","Downtown",0,0
"420",2022-04-08,"firearm_discharge","East York",0,0
"421",2019-11-16,"shooting_event","North York",0,0
"422",2022-07-31,"shooting_event","East York",0,0
"423",2018-11-03,"firearm_discharge","Etobicoke",0,0
"424",2022-07-11,"shooting_event","Etobicoke",1,0
"425",2019-06-23,"firearm_discharge","North York",0,0
"426",2021-12-03,"firearm_discharge","Scarborough",0,0
"427",2023-04-21,"shooting_event","East York",1,0
"428",2018-01-26,"firearm_discharge","North York",0,0
"429",2022-05-24,"firearm_discharge","East York",0,0
"430",2018-08-06,"firearm_discharge","North York",0,0
"431",2023-08-13,"shooting_event","Scarborough",0,0
"432",2020-05-23,"firearm_discharge","Etobicoke",0,0
"433",2021-12-05,"firearm_discharge","Scarborough",0,0
"434",2021-06-12,"shooting_event","Scarborough",1,0
"435",2020-02-21,"firearm_discharge","Downtown",0,0
"436",2018-01-12,"shooting_event","Scarborough",0,0
"437",2023-09-02,"firearm_discharge","East York",0,0
"438",2018-09-02,"firearm_discharge","East York",0,0
"439",2018-09-14,"firearm_discharge","Etobicoke",0,0
"440",2023-10-14,"firearm_discharge","North York",0,0
"441",2019-07-12,"shooting_event","Downtown",0,0
"442",2020-06-01,"shooting_event","Etobicoke",1,0
"443",2018-03-14,"firearm_discharge","Downtown",0,0
"444",2021-06-14,"shooting_event","Scarborough",0,0
"445",2022-09-17,"shooting_event","Etobicoke",3,1
"446",2022-03-12,"firearm_discharge","North York",0,0
"447",2018-02-20,"shooting_event","Downtown",1,0
"448",2022-02-20,"firearm_discharge","Downtown",0,0
"449",2023-01-24,"shooting_event","Scarborough",1,0
"450",2023-12-14,"shooting_event","Downtown",2,0
"451",2023-06-18,"firearm_discharge","North York",0,0
"452",2018-07-21,"firearm_discharge","Downtown",0,0
"453",2023-10-21,"firearm_discharge","Etobicoke",0,0
"454",2018-01-07,"firearm_discharge","Downtown",0,0
"455",2019-11-19,"firearm_discharge","East York",0,0
"456",2019-06-12,"firearm_discharge","Downtown",0,0
"457",2022-08-19,"firearm_discharge","North York",0,0
"458",2020-03-01,"firearm_discharge","North York",0,0
"459",2018-08-20,"shooting_event","North York",0,0
"460",2022-12-27,"shooting_event","East York",1,0
"461",2022-02-24,"firearm_discharge","Scarborough",0,0
"462",2022-11-08,"firearm_discharge","North York",0,0
"463",2022-05-01,"firearm_discharge","Scarborough",0,0
"464",2021-07-06,"firearm_discharge","Downtown",0,0
"465",2019-11-22,"firearm_discharge","Scarborough",0,0
"466",2020-05-23,"shooting_event","Downtown",1,0
"467",2019-09-05,"firearm_discharge","East York",0,0
"468",2022-03-15,"shooting_event","Scarborough",1,1
"469",2020-05-25,"firearm_discharge","North York",0,0
"470",2022-11-01,"shooting_event","Downtown",0,0
"471",2018-07-21,"shooting_event","East York",0,0
"472",2022-11-14,"firearm_discharge","Downtown",0,0
"473",2022-01-13,"firearm_discharge","Downtown",0,0
"474",2021-08-06,"firearm_discharge","East York",0,0
"475",2023-12-13,"shooting_event","East York",1,0
"476",2019-07-22,"firearm_discharge","Scarborough",0,0
"477",2022-04-20,"shooting_event","Downtown",1,0
"478",2023-12-23,"shooting_event","Etobicoke",0,0
"479",2021-12-04,"firearm_discharge","Etobicoke",0,0
"480",2021-05-19,"shooting_event","Downtown",2,0
"481",2018-08-06,"shooting_event","North York",0,1
"482",2022-06-24,"firearm_discharge","Scarborough",0,0
"483",2019-05-14,"shooting_event","North York",4,0
"484",2020-09-21,"shooting_event","Downtown",1,0
"485",2020-02-21,"shooting_event","Scarborough",3,0
"486",2022-07-13,"firearm_discharge","East York",0,0
"487",2023-02-09,"shooting_event","Scarborough",0,0
"488",2019-07-24,"firearm_discharge","East York",0,0
"489",2020-11-15,"firearm_discharge","Downtown",0,0
"490",2021-12-07,"firearm_discharge","North York",0,0
"491",2020-06-13,"firearm_discharge","Scarborough",0,0
"492",2022-10-10,"firearm_discharge","Downtown",0,0
"493",2019-10-30,"shooting_event","Downtown",1,0
"494",2023-04-25,"firearm_discharge","North York",0,0
"495",2020-01-11,"firearm_discharge","Etobicoke",0,0
"496",2022-02-01,"shooting_event","Scarborough",1,0
"497",2019-02-07,"firearm_discharge","Etobicoke",0,0
"498",2023-08-25,"firearm_discharge","East York",0,0
"499",2021-06-27,"shooting_event","Etobicoke",0,0
"500",2022-02-28,"shooting_event","East York",1,0
"501",2023-05-15,"shooting_event","Downtown",1,0
"502",2019-09-22,"firearm_discharge","Etobicoke",0,0
"503",2021-10-20,"firearm_discharge","North York",0,0
"504",2021-05-07,"shooting_event","Scarborough",0,0
"505",2018-12-05,"firearm_discharge","East York",0,0
"506",2019-07-06,"firearm_discharge","East York",0,0
"507",2023-06-22,"shooting_event","Downtown",1,0
"508",2020-10-11,"shooting_event","Downtown",2,0
"509",2020-04-30,"firearm_discharge","Etobicoke",0,0
"510",2021-09-02,"firearm_discharge","Downtown",0,0
"511",2019-12-29,"firearm_discharge","Downtown",0,0
"512",2019-11-16,"firearm_discharge","North York",0,0
"513",2022-11-03,"shooting_event","Scarborough",1,0
"514",2022-03-24,"firearm_discharge","Scarborough",0,0
"515",2020-03-30,"shooting_event","East York",1,0
"516",2018-12-19,"shooting_event","East York",0,1
"517",2021-09-09,"shooting_event","Downtown",1,0
"518",2021-09-27,"firearm_discharge","North York",0,0
